"Project Name",Status,Location,"End Use","Electrolyser Capacity (MW)","Project Capacity (Tonnes H2 P.A.)","More Info"
"Sadhana Nitro Chem Hydrogen Project",Announced,NA,"Green Hydrogen",20.000,2840.000,
"Essar Gujarat Hydrogen Project",Announced,NA,"Green Hydrogen",1000.000,142000.000,
"Greenzo Energy Sanand Hydrogen Project",Announced,NA,"Green Hydrogen",1.000,142.000,
"Torrent Power Gorakhpur Hydrogen Plant",Announced,NA,"Green Hydrogen",0,0,
"Erisha Gujarat Hydrogen Project",Announced,NA,"Green Hydrogen",0,0,
"Reliance Industries Tamil Nadu Hydrogen Project",Announced,NA,"Green Hydrogen ",0,0,
"CESC East Coast Hydrogen Project",Announced,NA,"Green Hydrogen ",0,10500.000,
"INOX Air Products Maharashtra Hydrogen Project",Announced,NA,"Green Ammonia Production",0,0,
"Fertilisers and Chemicals Travancore (FACT) Kochi Hydrogen Project",Announced,NA,"Green Hydrogen",0,0,
"Numaligarh Refinery Hydrogen Project Phase 1",Announced,NA,,0,2400.000,
"DVC Chandrapura Hydrogen Plant",Announced,NA,"Green Hydrogen",0,0,
"IH2A Bellary Hydrogen Project",Announced,NA,"Green Hydrogen ",30.000,5000.000,
"IH2A Gujarat Hydrogen Plant",Announced,NA,"Green Hydrogen ",40.000,8000.000,
"IH2A Maharashtra Hydrogen Project",Announced,NA,"Green Hydrogen",30.000,5000.000,
"IH2A Nellore Hydrogen Project",Announced,NA,"Green Hydrogen",30.000,5000.000,
"OIL India Himachal Pradesh Hydrogen Plant",Announced,NA,"Green Hydrogen",1.000,148.920,
"HLC Green Energy Kerala Hydrogen Project",Announced,NA,"Green Hydrogen",250.000,35500.000,
"HMWSSB Amberpet Hydrogen Project",Announced,NA,"Green Hydrogen",0,0,
"Statkraft Kandla Port Hydrogen Project",Announced,NA,"Green Hydrogen",0,0,
"HLC - Himachal Green Hydrogen and Ammonia Plant",Announced,"Himachal Pradesh","Green Ammonia",250.000,300000.000,https://www.outlookindia.com/outlook-spotlight/mou-with-hlc-green-energy-llc-for-green-hydrogen-and-green-ammonia-project-news-273736
"ReNew - GH2 Project Kerala",Announced,"Vizhinjam, Kerala","Ammonia production",2000.000,220000.000,https://energy.economictimes.indiatimes.com/news/renewable/renew-proposes-to-invest-rs-26400-crore-for-green-hydrogen-project-in-kerala/107213520
"Sembcorp - Green Hydrogen/Ammonia Plant","Announced ",NA,"Green Ammonia- Export to Japan",0,200000.000,https://www.sembcorp.com/media/tp3plzkl/thiru-mk-stalin-honble-chief-minister-of-tamil-nadu-lays-foundation-stone-for-sembcorps-green-ammonia-plant-in-turicorin.pdf
"NTPC Ramagundam Hydrogen Project ",Announced,NA,"Green Methanol production",0,0,
"MAHAPREIT Pune Hydrogen Project",Announced,NA,"Green Hydrogen",1,500,https://solarquarter.com/2022/06/03/mahapreit-floats-tender-for-1-mw-green-hdrogen-plant-in-maharashtra/
"ONGC Greenko JV Rajasthan Hydrogen Project",Announced,NA,"Green Ammonia",1300,180000,
"ONGC Mangaluru Hydrogen Project",Announced,NA,"Green Ammonia",1267.605,180000,https://timesofindia.indiatimes.com/city/mangaluru/allocate-green-hydrogen-project-to-mangaluru-chowta/articleshow/111326338.cms
"Gensol Matrix Pune Hydrogen Project",Announced,NA,"Green Hydrogen",0,0,https://economictimes.indiatimes.com/industry/renewables/gensol-matrix-to-set-up-indias-first-green-hydrogen-valley-project-in-pune/articleshow/113246573.cms?from=mdr
"Hygenco Prayagraj Hydrogen Project",Announced,NA,"Green Hydrogen",0,200000,https://energy.economictimes.indiatimes.com/news/renewable/uttar-pradesh-secures-1-15-lakh-crore-investments-for-green-hydrogen-ammonia-projects/113456828
